stop_id;stop_name;stop_code;visible;fare_zone_id;stop_lon;stop_lat;location_type;parent_station;stop_timezone;geometry_id;equipment_id;level_id;platform_code;address_id
LME:M49;AEROPORTO;;1;;-9.12833;38.76862;0;LME:Navitia:M49;;;;;;
LME:M23;ALAMEDA;;1;;-9.13389;38.73696;0;LME:Navitia:M23;;;;;;
LME:M43;ALFORNELOS;;1;;-9.20455;38.76035;0;LME:Navitia:M43;;;;;;
LME:M04;ALTO DOS MOINHOS;;1;;-9.18007;38.74993;0;LME:Navitia:M04;;;;;;
LME:M20;ALVALADE;;1;;-9.1441;38.75327;0;LME:Navitia:M20;;;;;;
LME:M44;AMADORA ESTE;;1;;-9.21794;38.75855;0;LME:Navitia:M44;;;;;;
LME:M40;AMEIXOEIRA;;1;;-9.15961;38.77953;0;LME:Navitia:M40;;;;;;
LME:M25;ANJOS;;1;;-9.13488;38.72703;0;LME:Navitia:M25;;;;;;
LME:M22;AREEIRO;;1;;-9.13349;38.74228;0;LME:Navitia:M22;;;;;;
LME:M24;ARROIOS;;1;;-9.1343;38.73285;0;LME:Navitia:M24;;;;;;
LME:M11;AVENIDA;;1;;-9.14513;38.71934;0;LME:Navitia:M11;;;;;;
LME:M29;BAIXA-CHIADO;;1;;-9.14018;38.71041;0;LME:Navitia:M29;;;;;;
LME:M32;BELA VISTA;;1;;-9.11772;38.7476;0;LME:Navitia:M32;;;;;;
LME:M35;CABO RUIVO;;1;;-9.10518;38.76294;0;LME:Navitia:M35;;;;;;
LME:M30;CAIS DO SODRÉ;;1;;-9.14612;38.70611;0;LME:Navitia:M30;;;;;;
LME:M13;CAMPO GRANDE;;1;;-9.15788;38.76016;0;LME:Navitia:M13;;;;;;
LME:M16;CAMPO PEQUENO;;1;;-9.14673;38.74079;0;LME:Navitia:M16;;;;;;
LME:M02;CARNIDE;;1;;-9.19276;38.75901;0;LME:Navitia:M02;;;;;;
LME:M33;CHELAS;;1;;-9.11404;38.75475;0;LME:Navitia:M33;;;;;;
LME:M14;CIDADE UNIVERSITÁRIA;;1;;-9.15915;38.75144;0;LME:Navitia:M14;;;;;;
LME:M03;COLÉGIO MILITAR-LUZ;;1;;-9.18987;38.75372;0;LME:Navitia:M03;;;;;;
LME:M48;ENCARNAÇÃO;;1;;-9.11538;38.77499;0;LME:Navitia:M48;;;;;;
LME:M15;ENTRECAMPOS;;1;;-9.14823;38.74698;0;LME:Navitia:M15;;;;;;
LME:M26;INTENDENTE;;1;;-9.13526;38.72326;0;LME:Navitia:M26;;;;;;
LME:M06;JARDIM ZOOLÓGICO;;1;;-9.16836;38.7412;0;LME:Navitia:M06;;;;;;
